ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2000,Electronics-Be,Electronics,969.31,452,"XYZ, Inc"
2001,Electronics-Be,Clothing,412.35,28,"ABC, Inc"
2002,Office-Family,Clothing,866,475,"ABC, Inc"
2003,Electronics-Training,Clothing,385.18,80,"XYZ, Inc"
2004,Office-Where,Home,927.25,40,"ABC, Inc"
2005,Office-Huge,Home,428.78,55,"XYZ, Inc"
2006,Office-Class,Clothing,198,429,"ABC, Inc"
2007,Clothing-Over,Electronics,583.39,130,"DMFC, Inc"
2008,Electronics-Skin,Home,66.59,163,"DMFC, Inc"
2009,Office-Raise,Clothing,66.31,109,"DMFC, Inc"
2010,Electronics-Themselves,Clothing,77.84,71,"ABC, Inc"
2011,Electronics-Religious,Clothing,409.74,12,"XYZ, Inc"
2012,Clothing-Artist,Electronics,623.19,34,"ABC, Inc"
2013,Office-Cultural,Home,935.36,95,"DMFC, Inc"
2014,Clothing-Eat,Home,246.3,88,"DMFC, Inc"
2015,Office-Itself,Clothing,674.97,255,"DMFC, Inc"
2016,Home-He,Office,323.02,106,"ABC, Inc"
2017,Electronics-Feeling,Electronics,463.7,447,"ABC, Inc"
2018,Electronics-Nature,Electronics,542.26,202,"ABC, Inc"
2019,Home-History,Clothing,933.93,198,"ABC, Inc"
2020,Electronics-Share,Clothing,375.83,91,"DMFC, Inc"
2021,Clothing-Skill,Office,835.41,298,"XYZ, Inc"
2022,Home-Economy,Electronics,671.18,384,"XYZ, Inc"
2023,Home-Yeah,Electronics,939.54,434,"ABC, Inc"
2024,Clothing-Paper,Home,124.27,142,"DMFC, Inc"
2025,Electronics-Assume,Clothing,279.62,117,"DMFC, Inc"
2026,Clothing-Use,Home,211.56,33,"ABC, Inc"
2027,Home-Purpose,Office,258.61,278,"XYZ, Inc"
2028,Electronics-Take,Electronics,637.94,433,"DMFC, Inc"
2029,Home-Yourself,Electronics,13.51,54,"DMFC, Inc"
2030,Clothing-First,Home,169.97,25,"XYZ, Inc"
2031,Office-Develop,Office,565.3,321,"DMFC, Inc"
2032,Electronics-There,Electronics,945.6,323,"XYZ, Inc"
2033,Clothing-Argue,Electronics,836.25,352,"ABC, Inc"
2034,Clothing-Feel,Office,136.17,294,"DMFC, Inc"
2035,Home-According,Home,899.99,186,"DMFC, Inc"
2036,Electronics-Candidate,Home,217.98,395,"XYZ, Inc"
2037,Clothing-Meeting,Electronics,360.14,203,"DMFC, Inc"
2038,Office-Soon,Clothing,926.51,375,"ABC, Inc"
2039,Clothing-Need,Clothing,976.44,382,"XYZ, Inc"
2040,Clothing-Determine,Office,34.54,357,"ABC, Inc"
2041,Home-Assume,Office,804.21,498,"ABC, Inc"
2042,Clothing-Lawyer,Home,167.61,264,"ABC, Inc"
2043,Electronics-Practice,Office,873.45,244,"DMFC, Inc"
2044,Office-Society,Clothing,207.58,65,"XYZ, Inc"
2045,Office-Next,Home,312.14,397,"ABC, Inc"
2046,Clothing-Worry,Clothing,33.43,469,"DMFC, Inc"
2047,Clothing-Hair,Office,334.98,318,"XYZ, Inc"
2048,Electronics-Candidate,Home,357.63,169,"DMFC, Inc"
2049,Office-Easy,Home,939.84,338,"ABC, Inc"
2050,Electronics-Young,Home,186.78,66,"XYZ, Inc"
2051,Home-Century,Electronics,117.32,417,"DMFC, Inc"
2052,Office-Year,Home,731.26,456,"XYZ, Inc"
2053,Home-Ground,Office,610.15,132,"DMFC, Inc"
2054,Electronics-Above,Office,900.51,402,"ABC, Inc"
2055,Clothing-Politics,Home,53.94,46,"ABC, Inc"
2056,Office-About,Electronics,524.72,457,"ABC, Inc"
2057,Clothing-Identify,Home,436.98,225,"DMFC, Inc"
2058,Home-Wear,Home,666.75,177,"XYZ, Inc"
2059,Electronics-Clear,Home,512.05,480,"ABC, Inc"
2060,Office-Term,Home,408.38,159,"ABC, Inc"
2061,Home-Quite,Clothing,199.92,18,"ABC, Inc"
2062,Office-Receive,Clothing,619.36,406,"ABC, Inc"
2063,Home-Good,Office,552.46,379,"ABC, Inc"
2064,Electronics-Stop,Home,294.04,186,"DMFC, Inc"
2065,Office-Animal,Home,470.34,120,"DMFC, Inc"
2066,Office-Occur,Clothing,516.06,83,"DMFC, Inc"
2067,Clothing-Remain,Electronics,290.95,291,"DMFC, Inc"
2068,Home-Read,Electronics,820.24,390,"DMFC, Inc"
2069,Clothing-Garden,Home,232.39,143,"XYZ, Inc"
2070,Clothing-About,Clothing,34.18,308,"ABC, Inc"
2071,Clothing-Success,Office,615.16,4,"XYZ, Inc"
2072,Electronics-Become,Office,420.3,399,"XYZ, Inc"
2073,Clothing-Executive,Office,499.43,347,"ABC, Inc"
2074,Clothing-Strong,Clothing,659.5,422,"ABC, Inc"
2075,Electronics-Letter,Electronics,780.64,375,"ABC, Inc"
2076,Clothing-Affect,Clothing,806.07,413,"XYZ, Inc"
2077,Office-Ball,Electronics,561.83,366,"XYZ, Inc"
2078,Electronics-Film,Office,142.01,38,"DMFC, Inc"
2079,Office-Who,Home,950.54,217,"ABC, Inc"
2080,Office-Doctor,Office,832.26,218,"DMFC, Inc"
2081,Office-Light,Clothing,746.22,394,"DMFC, Inc"
2082,Office-Figure,Office,266.6,203,"XYZ, Inc"
2083,Clothing-Cut,Home,768.16,253,"XYZ, Inc"
2084,Office-Stuff,Clothing,281.85,290,"XYZ, Inc"
2085,Electronics-Officer,Home,242.15,34,"ABC, Inc"
2086,Home-Of,Home,894.1,228,"DMFC, Inc"
2087,Electronics-Rather,Clothing,159.32,231,"DMFC, Inc"
2088,Office-Evening,Clothing,709.35,434,"DMFC, Inc"
2089,Electronics-Action,Office,413.52,76,"DMFC, Inc"
2090,Office-Staff,Office,71.64,480,"DMFC, Inc"
2091,Office-Mrs,Office,905.79,492,"XYZ, Inc"
2092,Electronics-Add,Office,482.21,494,"ABC, Inc"
2093,Home-Real,Home,755.94,342,"ABC, Inc"
2094,Office-Fight,Clothing,493.35,410,"XYZ, Inc"
2095,Home-Seem,Office,490.79,16,"ABC, Inc"
2096,Office-Discuss,Home,672.18,127,"XYZ, Inc"
2097,Office-Recent,Clothing,842.1,313,"ABC, Inc"
2098,Clothing-Trouble,Electronics,907.86,80,"ABC, Inc"
2099,Electronics-Several,Electronics,646.32,378,"ABC, Inc"
